actor,country,month,sovereignty,territorial_integrity,democracy,security,civilization,international_law,human_rights,rules_based
State,Georgia,2023-01,4.198402441800426,4.916793246398127,0.0,9.170785815887763,0.0,0.0,0.0,0.0
State,Georgia,2023-02,0.3278688524590164,0.3278688524590164,0.6557377049180328,0.9836065573770492,0.0,0.0,0.0,0.0
State,Georgia,2023-03,0.8183306055646482,0.8183306055646482,0.0,3.273322422258593,0.0,0.0,0.8183306055646482,0.0
State,Georgia,2023-04,0.8318011196419027,0.8318011196419027,0.0,10.435591981410976,0.0,0.0,3.7425141323011615,0.0
State,Georgia,2023-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,Georgia,2023-06,0.8361204013377926,0.8361204013377926,4.190429187687358,1.8758569905032756,0.0,0.0,13.158484759750918,0.0
State,Georgia,2023-07,1.3054830287206267,1.3054830287206267,0.0,2.941176470588235,0.0,0.0,1.4705882352941175,0.0
State,Georgia,2023-08,4.331926863572433,6.554149085794656,0.0,13.333333333333334,0.0,2.2222222222222223,0.0,0.0
State,Georgia,2023-09,3.364716777280444,3.364716777280444,0.7331378299120235,3.6786650403550203,0.0,2.631578947368421,1.8393325201775101,0.0
State,Georgia,2023-10,3.3855221127457598,3.3855221127457598,0.9689922480620154,2.702510490007823,0.0,0.0,3.758392527002043,0.0
State,Georgia,2023-11,2.530709370377516,2.530709370377516,0.7042253521126761,3.936575472869431,0.0,0.0,5.314150927932912,0.0
State,Georgia,2023-12,3.541515360557822,3.541515360557822,0.0,1.1042720926436274,0.0,2.618537779137351,2.191452633673346,0.3568879371877231
State,Georgia,2024-01,0.0,0.0,0.0,20.689655172413794,0.0,0.0,0.0,0.0
State,Georgia,2024-02,3.948186760686761,3.948186760686761,0.0,3.0030030030030033,0.0,0.0,4.6875,0.0
State,Georgia,2024-03,3.4377130565878296,3.4377130565878296,3.482988802756245,2.9068733830672984,0.0,0.8210180623973727,0.0,0.0
State,Georgia,2024-04,2.2675736961451247,2.2675736961451247,0.0,9.99757927862503,0.0,0.0,2.05761316872428,0.0
State,Georgia,2024-05,1.6875088816256927,1.6875088816256927,0.0,0.0,0.0,0.0,2.3391812865497075,0.0
State,Georgia,2024-06,2.9657477025898076,2.9657477025898076,0.0,4.030589293747188,0.0,1.1904761904761902,2.5849881113039004,0.0
State,Georgia,2024-07,2.6737967914438503,2.6737967914438503,0.0,2.6737967914438503,0.0,0.0,0.0,0.0
State,Georgia,2024-08,4.504504504504505,4.504504504504505,0.0,4.504504504504505,0.0,2.2522522522522523,4.504504504504505,0.0
State,Georgia,2024-09,0.0,0.0,5.128205128205129,10.256410256410257,0.0,0.0,5.128205128205129,0.0
State,Georgia,2024-10,0.0,0.0,0.0,0.0,0.0,0.0,11.673151750972762,0.0
State,Georgia,2024-11,1.6750418760469012,1.6750418760469012,0.0,4.171920777420184,0.0,0.0,1.2484394506866416,0.0
State,Georgia,2024-12,2.028685280904073,1.6836197184472068,1.1111111111111112,3.852444614272101,0.0,0.9009815219647727,3.23305759932614,0.0
State,Russia,2022-02,0.04125599289550058,0.0,0.0,3.2783429001924986,0.0,0.1576027379349399,0.00766119146849718,0.0
State,Russia,2022-03,0.3563044936284373,0.0,0.0,2.2489546528268276,0.0,0.0,0.44642857142857145,0.0
State,Russia,2022-04,0.5501915326607411,0.0,0.3992015968063872,3.309114953663197,0.0,0.03179144810046098,0.024709661477637757,0.0
State,Russia,2022-05,0.08540438978563497,0.0,0.0,2.997616408909499,0.0,0.0,0.25138260432378084,0.0
State,Russia,2022-06,0.3664463773097131,0.0,0.11160714285714286,1.182006184759469,0.0,0.324513762511374,0.4389453338806787,0.0
State,Russia,2022-07,0.9964689011911645,0.08927302333203258,0.03751359867952133,1.3475572891922756,0.0,0.018756799339760665,0.0,0.0
State,Russia,2022-08,0.09267834849374293,0.0,0.262890437505653,1.6977248648131806,0.03511975837606238,0.11053447585274126,0.0,0.0
State,Russia,2022-09,0.3003337097210452,0.0,0.03546350805021633,2.9413434800809726,0.0,0.1334454210514229,0.12457954403886883,0.008865877012554082
State,Russia,2022-10,0.49918990054772155,0.11976738099264735,0.017448774424928662,3.3428401987647254,0.004026640251906614,0.0730782449617811,0.002684426834604409,0.0013422134173022046
State,Russia,2022-11,0.4234224774687397,0.21008403361344535,0.0,0.6817287012646752,0.0,0.21008403361344535,0.0,0.0
State,Russia,2022-12,0.2005827311958938,0.005742835812324126,0.0,3.7641187317673697,0.0,0.0,0.027752757658966513,0.0
State,Russia,2023-01,0.0,0.19470404984423675,0.0,0.567761904902278,0.0,0.0,0.2340823970037453,0.0
State,Russia,2023-02,0.328080354450053,0.005830223880597015,0.18821412007757823,2.106391899210268,0.0,0.4005680092339469,0.005830223880597015,0.0
State,Russia,2023-03,0.2531363171506476,0.14942385624983864,0.0349811801250927,2.8200885682515104,0.0,0.01632455072504326,0.03635242020213259,0.009328314700024721
State,Russia,2023-04,0.3177820311694666,0.003079917704598933,0.0814341834959175,1.390994091543529,0.07674346581799553,0.015900665762030874,0.027144727831972495,0.0
State,Russia,2023-05,0.2812939521800281,0.0,0.2812939521800281,0.6950058940815763,0.0,0.2812939521800281,0.0,0.0
State,Russia,2023-06,0.24176406526143387,0.020656035693629678,0.0,2.3506411432675645,0.0,0.0,0.0,0.0
State,Russia,2023-07,0.2679618676848594,0.17313019390581716,0.026675914316963215,1.8334188199154564,0.0,0.2203032943011948,0.0,0.0
State,Russia,2023-08,0.44246688983531085,0.0,0.25252525252525254,2.478994486351924,0.17845661273602856,0.0,0.0,0.0
State,Russia,2023-09,0.05957700327673518,0.0,1.2323678990345657,2.021577456360065,0.0,0.0,0.0,0.0
State,Russia,2023-10,0.1448471024480685,0.0,0.21406363450188967,1.6241988055358734,0.019455252918287938,0.021223912274495934,0.882825928078675,0.0017686593562079944
State,Russia,2023-11,0.3347865260679419,0.021366608264604077,0.3459455096889529,2.1105450356321427,0.0037582116925482176,0.16065533961512032,0.03177427554651754,0.13896609227348528
State,Russia,2023-12,0.35354639078767297,0.011872865357749222,0.022784180779845075,1.7949540500030776,0.03905182176748546,0.0,0.0,0.004954419342053111
State,Russia,2024-01,0.28289851754881695,0.0,0.3362290065894014,0.8170880322588626,0.0,0.26143790849673204,0.0,0.0
State,Russia,2024-02,0.2933039476906825,0.0,0.1426264231663567,0.830194587592246,0.0,0.2635484254307548,0.002442074004610636,0.0
State,Russia,2024-03,0.20120430188746777,0.0,0.0,1.0092365251088309,0.0,0.0,0.0,0.0
State,Russia,2024-04,0.17618040873854826,0.0,0.0,1.594863506536928,0.0,0.0,0.0,0.0
State,Russia,2024-05,0.8141145832157172,0.0,0.3756882734567554,2.1612972254054585,0.0,0.24032684450853156,0.0,0.0
State,Russia,2024-06,0.5427009474075352,0.6001903235104816,0.6397694033341862,1.259407063044703,0.0,0.0,0.43290043290043295,0.07494566439331485
State,Russia,2024-07,0.0,0.0,0.0,3.7459154976149356,0.0,0.0,0.0,0.0
State,Russia,2024-08,0.40773745634656766,0.02928772258669166,0.20292207792207795,5.982341963203163,0.0,0.02928772258669166,0.2604166666666667,0.0
State,Russia,2024-09,0.15578776776799602,0.12863390789812196,0.9877937672910495,1.3422647785774984,0.0,0.188390838744989,0.19017969950901145,0.0
State,Russia,2024-10,0.5312020237393372,0.0,0.0,1.187655951221302,0.3004807692307692,0.0,0.0,0.0
State,Russia,2024-11,0.035919540229885055,0.0,0.4118606559410799,3.1356170748145282,0.0,0.37172028720374095,0.4524886877828055,0.0
State,Russia,2024-12,0.10656465273022189,0.0019365208466469142,0.0019365208466469142,0.6084828682614124,0.0,0.005809562539940742,0.9965109770063884,0.0
State,Ukraine,2022-02,0.3382358472137226,0.39384198466105785,0.0,3.5095732920350677,0.0,0.0,0.0,0.0
State,Ukraine,2022-03,0.16731087036006317,0.30688577624991903,0.21251462390279963,1.757999543149325,0.0,0.030999365712481318,0.19569583296901652,0.0
State,Ukraine,2022-04,0.11328880350920709,0.13902491294868496,0.23077034366967222,1.632928433950184,0.0,0.007939406449973799,0.12375124593141386,0.0
