doc_id,site,url,title,date,raw_path,clean_path,n_chars,kw_hit,sim_max
2117e609ab3446c51f82053468b6d970040a644e,kremlin,http://en.kremlin.ru/events/president/news/73016,Greetings on the 50th anniversary of the Federal Service for Technical and Export Control of Russia • President of Russia,2023-12-18,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/2117e609ab3446c51f82053468b6d970040a644e.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/2117e609ab3446c51f82053468b6d970040a644e.txt,1215,True,0.45156956
81f243f82222c833224b48a35c7a7cb79ef3436d,kremlin,http://en.kremlin.ru/events/president/news/72149,Greetings to residents of Rostov Region • President of Russia,2023-08-30,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/81f243f82222c833224b48a35c7a7cb79ef3436d.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/81f243f82222c833224b48a35c7a7cb79ef3436d.txt,1582,True,0.4508058
5cc748c8179babd10c57b3ce17089dc4ec69a6dc,kremlin,http://en.kremlin.ru/events/president/news/69166,Address to participants and guests of the 10th Moscow Conference on International Security • President of Russia,2022-08-16,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/5cc748c8179babd10c57b3ce17089dc4ec69a6dc.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/5cc748c8179babd10c57b3ce17089dc4ec69a6dc.txt,8013,True,0.44600585
fdbf33ae29f7717b95508882b001c553ab4caeaf,kremlin,http://en.kremlin.ru/events/president/news/70427,Greetings to National Media Group staff • President of Russia,2023-02-01,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/fdbf33ae29f7717b95508882b001c553ab4caeaf.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/fdbf33ae29f7717b95508882b001c553ab4caeaf.txt,1360,True,0.4452773
432002ebe5e39e80390fb421c5356f9c0430bc5f,kremlin,http://en.kremlin.ru/events/president/news/68012,Telephone conversation with Federal Chancellor of Germany Olaf Scholz • President of Russia,2022-03-18,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/432002ebe5e39e80390fb421c5356f9c0430bc5f.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/432002ebe5e39e80390fb421c5356f9c0430bc5f.txt,1386,True,0.44446263
0ad2e7d82b0e336dcca71fbd7bed67a15c1959fa,kremlin,http://en.kremlin.ru/events/president/news/71167,Greetings on the opening of the Arab League summit • President of Russia,2023-05-19,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/0ad2e7d82b0e336dcca71fbd7bed67a15c1959fa.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/0ad2e7d82b0e336dcca71fbd7bed67a15c1959fa.txt,1549,True,0.44440976
cc76a24301950227ce68619d4b952bb8bb743a6f,kremlin,http://en.kremlin.ru/events/president/news/72826,Greetings on the opening of the Primakov Readings International Forum • President of Russia,2023-11-27,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/cc76a24301950227ce68619d4b952bb8bb743a6f.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/cc76a24301950227ce68619d4b952bb8bb743a6f.txt,1787,True,0.44181365
84e2772498e1957db8359f80a317f3ac06bbd807,kremlin,http://en.kremlin.ru/events/president/news/72472,Greetings to the staff of the NTV television company • President of Russia,2023-10-10,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/84e2772498e1957db8359f80a317f3ac06bbd807.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/84e2772498e1957db8359f80a317f3ac06bbd807.txt,1029,True,0.43969688
645bb48bd5f231ab048c11b6ffc0a5fbc3ea5495,kremlin,http://en.kremlin.ru/events/president/news/73929,Address to participants in 12th International Meeting of High Representatives for Security Issues • President of Russia,2024-04-24,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/645bb48bd5f231ab048c11b6ffc0a5fbc3ea5495.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/645bb48bd5f231ab048c11b6ffc0a5fbc3ea5495.txt,3344,True,0.4385972
eae28b0d44984b364a18e673434ca4749bc89ce4,kremlin,http://en.kremlin.ru/events/president/news/72242,Telephone conversation with Interim President of Mali Assimi Goita • President of Russia,2023-09-10,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/eae28b0d44984b364a18e673434ca4749bc89ce4.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/eae28b0d44984b364a18e673434ca4749bc89ce4.txt,1230,True,0.4336561
