doc_id,site,url,title,date,raw_path,clean_path,n_chars,year,month,quarter
e7515e6984570250fbea34bcf1155411de3c44b6,mfa_georgia,https://mfa.gov.ge/en/news/221277-ilia-darchiashvilma-evrokavshiris-elchs-gaphartoebis-paketis-pharglebshi-momzadebuli-pirveli-angaris,Ilia Darchiashvili has handed over to the EU Ambassador Georgia’s first progress report under the EU enlargement Pack | Ministry of Foreign Affairs of Georgia,2023-04-19,,data/clean/georgia/mfa_georgia/e7515e6984570250fbea34bcf1155411de3c44b6.txt,1464.0,2023,4,2023Q2
0dd8ba1fc63e77946d685643e2130b16c1dc33bd,mfa_georgia,https://mfa.gov.ge/en/news/221444-iaponiashi-vizitis-farglebshi-saqartvelos-sagareo-,"Within the framework of his visit to Japan, the Minister of Foreign Affairs of Georgia has met with the Minister of Digital Transformation of Japan, Taro Kano | Ministry of Foreign Affairs of Georgia",2022-12-15,,data/clean/georgia/mfa_georgia/0dd8ba1fc63e77946d685643e2130b16c1dc33bd.txt,1065.0,2022,12,2022Q4
92c180d9980817d48e4bc51e35f4e9038d934248,mfa_georgia,https://mfa.gov.ge/en/news/221793-ilia-darchiashvili-vizitit-iordaniis-hashimitur-samephoshi-imkopheba,Ilia Darchiashvili is on an official visit to the Hashemite Kingdom of Jordan | Ministry of Foreign Affairs of Georgia,2024-09-15,,data/clean/georgia/mfa_georgia/92c180d9980817d48e4bc51e35f4e9038d934248.txt,1585.0,2024,9,2024Q3
fe0070362689faf415c14f1a633413a64209801c,mfa_georgia,https://mfa.gov.ge/en/news/222741-ilia-darchiashvili-argentinashi-qartuli-diasporis-tsarmomadgenlebs-shekhvda,"During his visit to Argentina, Ilia Darchiashvili has met with representatives of the Georgian diaspora | Ministry of Foreign Affairs of Georgia",2024-03-29,,data/clean/georgia/mfa_georgia/fe0070362689faf415c14f1a633413a64209801c.txt,713.0,2024,3,2024Q1
dda23eda97ffb1bbf55e7dad3da042f5bb4ada81,mfa_georgia,https://mfa.gov.ge/en/news/223010-teimuraz-janjalia-daniis-samephos-elchs-shekhvda,Teimuraz Janjalia has met with the ambassador of the Kingdom of Denmark | Ministry of Foreign Affairs of Georgia,2023-09-13,,data/clean/georgia/mfa_georgia/dda23eda97ffb1bbf55e7dad3da042f5bb4ada81.txt,1311.0,2023,9,2023Q3
f2d8ced7823b0c789b890690935d1ef5f54872b3,mfa_georgia,https://mfa.gov.ge/en/news/223260-teimuraz-janjaliam-evrokavshirshi-gatsevrianebisad,Teimuraz Janjalia has participated in the forum dedicated to joining the European Union | Ministry of Foreign Affairs of Georgia,2022-11-28,,data/clean/georgia/mfa_georgia/f2d8ced7823b0c789b890690935d1ef5f54872b3.txt,1606.0,2022,11,2022Q4
830ab2a11b13001bb0276c533a10b210aab3b2c2,mfa_georgia,https://mfa.gov.ge/en/news/223723-zhenevis-saertashoriso-molaparakebebis-61-e-raundis-mosamzadebeli-shekhvedra,A preparatory meeting for the 61st round of the Geneva International Discussions | Ministry of Foreign Affairs of Georgia,2024-06-10,,data/clean/georgia/mfa_georgia/830ab2a11b13001bb0276c533a10b210aab3b2c2.txt,1611.0,2024,6,2024Q2
2b2b85b4b29645591396387dbb2ccd0cbf656157,mfa_georgia,https://mfa.gov.ge/en/news/227658-ministris-pirveli-moadgile-manphred-prophazis-shekhvda,The Georgian First Deputy Minister has met with Manfred Profazi | Ministry of Foreign Affairs of Georgia,2023-10-06,,data/clean/georgia/mfa_georgia/2b2b85b4b29645591396387dbb2ccd0cbf656157.txt,767.0,2023,10,2023Q4
03fb11b375c20342d24deff7445730d79117606c,mfa_georgia,https://mfa.gov.ge/en/news/228960-aleqsandre-khvtisiashvili-germaniis-aghmosavlet-bi,Aleksandre Khvtisiashvili has met with the representatives of the German Eastern Business Association  | Ministry of Foreign Affairs of Georgia,2022-10-04,,data/clean/georgia/mfa_georgia/03fb11b375c20342d24deff7445730d79117606c.txt,1385.0,2022,10,2022Q4
1b7e04c8007e1dd090a1108e666cd3117f7aca13,mfa_georgia,https://mfa.gov.ge/en/news/230011-sagareo-saqmeta-saministros-gantskhadeba-sazghvargaret-mtskhovrebi-sakonsulo-aghritskhvaze-mkophi-ta,Statement from the Ministry of Foreign Affairs regarding the Number of Citizens Living Abroad Registered with Consulates | Ministry of Foreign Affairs of Georgia,2024-09-26,,data/clean/georgia/mfa_georgia/1b7e04c8007e1dd090a1108e666cd3117f7aca13.txt,2269.0,2024,9,2024Q3
